nome_imm,numero_atomi,area_px,num_pixels,perimeter_px,circularity,solidity,compactness,feret_diameter,eccentricity
graphene_195529,344.0,1000.5,2021.0,142.97973370552063,0.6150040691080935,62.53125,0.010110335357062484,0.9880460324584831,0.7114836184637829
graphene_195551,267.0,4286.0,8533.0,660.985092997551,0.4189192937078059,118.91566673332889,0.01227924470408804,1.029168724394137,0.4342691343567269
graphene_195855,383.0,578.5,1636.0,179.95883798599243,0.6178668807805444,28.433012493124853,0.04705688664359116,0.8990805746730787,0.6789946062527951
graphene_195858,283.0,2968.0,5506.0,336.98285388946533,0.6566395615815419,119.3767770723212,0.006949002587707094,1.0669214885077396,0.5258985487239899
graphene_196046,364.0,831.0,1440.0,127.50532364845276,0.6423241514983167,83.1,0.013586047231161157,0.9130609699477787,0.20099668187218
graphene_196194,409.0,334.5,812.0,70.74631381034851,0.8398434777214273,33.45,0.018427035858800758,0.7369555266607762,0.0
graphene_19624,325.0,1175.5,2632.0,160.62276649475098,0.5725564269949472,78.36666666666666,0.008338840846495929,1.037334895734878,0.7694928098846587
graphene_196343,409.0,360.0,841.0,92.26998114585876,0.5313632334765294,32.72727272727273,0.02812045653539811,0.7802556794265221,0.0
graphene_196568,304.0,2655.0,5620.0,343.87775444984436,0.564319010872251,88.50101694915254,0.007957721774181439,0.9097486197403352,0.46499255335569867
graphene_196584,307.0,3535.0,6756.0,494.02134108543396,0.545669702440331,105.22096727529895,0.010318448391601532,1.2034757514080918,0.8361978004490768
graphene_196839,399.0,430.0,1085.0,89.77557587623596,0.6704430919918254,47.77777777777778,0.017275005945578823,0.99111254161081,0.8273791243432942
graphene_196887,298.0,1279.0,2310.0,157.03760147094727,0.6517380872536646,127.9,0.008346891773452629,0.9987004542917749,0.7261843774138906
graphene_197091,350.0,926.0,1722.0,123.98366260528564,0.7569931110867373,54.470588235294116,0.009640172154673046,0.8678871338796961,0.3590108402807458
graphene_197101,323.0,1209.0,2288.0,177.81450867652893,0.4805092768358782,86.35714285714286,0.011430153617635863,0.9535169896453533,0.5535025936386104
graphene_19753,330.0,1105.5,2400.0,148.89933228492737,0.6265894963976654,73.7,0.008356328642732253,1.0133879551048124,0.7755510083163123
graphene_197538,382.0,571.0,1190.0,130.75169813632965,0.4197119130303174,47.583333333333336,0.025160056167911036,0.9856107606091622,0.5220070396852603
graphene_197639,369.0,689.0,1625.0,166.60121154785156,0.629455419575544,36.533921856445446,0.025357298258817915,0.9050306723138254,0.5705212366486153
graphene_197651,353.0,876.0,1681.0,120.91385006904602,0.752942601642104,62.57142857142857,0.00992842318969176,0.8455795660251524,0.2177705253661995
graphene_197833,399.0,411.0,1130.0,96.61266946792603,0.7940254023744647,31.33219789132198,0.02030898947501407,0.7650638673897308,0.3698195669617553
graphene_197904,338.0,1003.5,2145.0,159.76872777938843,0.4940190394406392,100.35,0.011858749099013279,1.1063625313272814,0.7891316266320356
graphene_197975,374.0,676.0,1763.0,189.92050957679749,0.6129473665026036,35.85171703296704,0.030671442076382747,0.8418767191222982,0.4309818965290072
graphene_198044,245.0,3416.5,5897.0,414.05616092681885,0.4998263084615134,156.0631983924169,0.008535885776792563,0.9783335496588815,0.4653988093707588
graphene_198304,396.0,484.0,1089.0,90.27920770645142,0.7462421017742832,37.23076923076923,0.015463301960447064,0.8572639118541371,0.5376983813748123
graphene_198836,401.0,431.5,990.0,81.63433909416199,0.8136636263147946,30.821428571428573,0.015600185679133453,0.7861827844516897,0.4130368137861182
graphene_198901,349.0,898.5,1902.0,175.05729949474335,0.7118700986387905,49.733245886000475,0.01817344236008043,0.8266940055755464,0.29576560478211866
graphene_198939,429.0,171.0,492.0,86.67422008514404,0.5581309881934354,11.460891812865498,0.09103941001803832,0.8931604586509115,0.7030975506829551
graphene_199032,408.0,323.5,1011.0,102.00161623954773,0.7539760236671983,24.709866048428648,0.03366325142149543,0.7162716820212024,0.3721063778385379
graphene_199556,285.0,2804.0,5346.0,360.5645475387573,0.5426456641764107,127.91538724441276,0.008826938077495789,1.0330908211663246,0.6822271258984433
graphene_199779,376.0,1147.5,2994.0,258.8422484397888,0.428290651976981,50.20988149468542,0.02012199855144815,0.9505162701373813,0.645529272100572
graphene_199805,304.0,1416.0,2860.0,175.2541859149933,0.5793437388353592,108.9230769230769,0.007584160464009481,1.044549609029117,0.7637014052548249
graphene_199851,397.0,775.5,1909.0,211.93189644813538,0.43367913710816036,37.09344329823053,0.030398305043628747,1.0584448500704602,0.7772971797250714
graphene_200370,332.0,1072.5,2568.0,293.9485285282135,0.4592654187742969,33.944488239033696,0.03166973313774999,1.0037790053863123,0.6263611196869122
graphene_200508,405.0,382.5,930.0,80.12451696395874,0.7487045196145088,34.77272727272727,0.0180474754900772,0.7918944233604008,0.4202519594103921
graphene_200693,249.0,1475.0,2652.0,208.74530005455017,0.4253715818562404,147.5,0.011139555767278724,0.9903379376602872,0.19705638472786072
graphene_20086,338.0,1031.0,2322.0,146.1195911169052,0.6068084680659923,73.64285714285714,0.008918586233385033,0.942383771738676,0.7344829826806788
graphene_200888,384.0,596.0,1533.0,189.93867540359497,0.645075041775236,25.523927372962607,0.04105491717197374,0.827491531652987,0.4742112870634155
graphene_201097,303.0,3721.5,6665.0,494.1412824392319,0.5726093948047686,111.3548852397099,0.009867819309003021,1.056719389860756,0.6728896650872418
graphene_20114,436.0,120.0,340.0,61.06051564216614,0.4044549687148036,20.0,0.09138202378645136,0.9761870601839528,0.6916610887771518
graphene_201202,349.0,907.0,1710.0,145.69101452827454,0.5369719698982698,75.58333333333333,0.013685546280249072,0.9632525781386665,0.4043913186554304
graphene_201597,292.0,2155.5,4914.0,389.7472298145294,0.5463545683079695,68.27667067333039,0.014603243998048666,0.946726371147639,0.6089861341328052
graphene_201723,407.0,388.5,1017.0,139.62427043914795,0.4632202152145893,30.40126861555433,0.04948495940179119,0.9522333125788467,0.6109939520319552
